,ReferenceID,Block,Lot,BuildingAddress,NoticeDate,Neighborhood,PoliceDistrict,CouncilDistrict,lat,long,counter
16164,6157 030 092415,6157,30,522 N CLINTON ST,9/24/2015,ELLWOOD PARK/MONUMENT,SOUTHEASTERN,13,39.29771029,-76.57091228,1
16165,6157 031 101212,6157,31,520 N CLINTON ST,10/12/2012,ELLWOOD PARK/MONUMENT,SOUTHEASTERN,13,39.29766723,-76.57090941,1
16166,6157 039 011514,6157,39,504 N CLINTON ST,1/15/2014,ELLWOOD PARK/MONUMENT,SOUTHEASTERN,13,39.29732713,-76.57088677,1
16167,6158 021 040714,6158,21,441 N CLINTON ST,4/7/2014,ELLWOOD PARK/MONUMENT,SOUTHEASTERN,13,39.29689248,-76.57039961,1
16168,6158A020 051415,6158A,20,3331 MCELDERRY ST,5/14/2015,ELLWOOD PARK/MONUMENT,SOUTHEASTERN,13,39.29800823,-76.57036948,1
16169,6158A036 102612,6158A,36,530 N HIGHLAND AVE,10/26/2012,ELLWOOD PARK/MONUMENT,SOUTHEASTERN,13,39.29791697,-76.57009377,1
16170,6159 002 121615,6159,2,303 LONEYS LANE,12/16/2015,ELLWOOD PARK/MONUMENT,SOUTHEASTERN,13,39.29598616,-76.57235568,1
16171,6159 006 111904,6159,6,311 LONEYS LANE,11/19/2004,ELLWOOD PARK/MONUMENT,SOUTHEASTERN,13,39.29609576,-76.57235815,1
16172,6159A011 092611,6159A,11,427 N BOULDIN ST,9/26/2011,ELLWOOD PARK/MONUMENT,SOUTHEASTERN,13,39.2964779,-76.57111135,1
16173,6166 025 060109,6166,25,4006 PULASKI HWY,6/1/2009,ORANGEVILLE,SOUTHEASTERN,2,39.29719721,-76.56364395,1
16174,6166 032 112112,6166,32,407 N HIGHLAND AVE,11/21/2012,ELLWOOD PARK/MONUMENT,SOUTHEASTERN,13,39.29667326,-76.56941617,1
16175,6189 002 071015,6189,2,1000 N IRIS AVE,7/10/2015,ORANGEVILLE,EASTERN,13,39.30322664,-76.56285563,1
16176,6242 006 050713,6242,6,13 N KRESSON ST,5/7/2013,KRESSON,SOUTHEASTERN,2,39.29350113,-76.55972547,1
16177,6242 036 091608,6242,36,4500 E LOMBARD ST,9/16/2008,KRESSON,SOUTHEASTERN,2,39.29328723,-76.55766765,1
16178,6242 038 122811,6242,38,1 S KRESSON ST,12/28/2011,KRESSON,SOUTHEASTERN,2,39.29287412,-76.55968729,1
16179,6242 039 092512,6242,39,3 S KRESSON ST,9/25/2012,KRESSON,SOUTHEASTERN,2,39.29283468,-76.55968974,1
16180,6242 042 042215,6242,42,9 S KRESSON ST,4/22/2015,KRESSON,SOUTHEASTERN,2,39.29272817,-76.55968137,1
16181,6242D018 081910,6242D,18,704 DEBELIUS AVE,8/19/2010,PULASKI INDUSTRIAL AREA,SOUTHEASTERN,2,39.30143231,-76.54420821,1
16182,6242D020 010711,6242D,20,700 DEBELIUS AVE,1/7/2011,PULASKI INDUSTRIAL AREA,SOUTHEASTERN,2,39.30134347,-76.54414793,1
16183,6262 001 082714,6262,1,5 S JANNEY ST,8/27/2014,KRESSON,SOUTHEASTERN,2,39.29224686,-76.56062949,1
